Mã TC,Tiêu đề testcase,Kết quả mong đợi,Kết quả thực tế,Tình trạng thực thi,Mức độ nghiêm trọng của lỗi,Kiểu chạy (Thủ công / Tự động),Người kiểm thử,Ngày bắt đầu,Chi tiết bước kiểm thử,Ghi chú
CAM-001,Tìm được Camera thật,Tìm thấy Camera prefab thật hoặc Camera trong gameplay scene.,Camera prefab=Camera.,Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Kiểm tra PlayMode runtime bằng prefab/script thật.,
CAM-002,Camera prefab instantiate được,Camera prefab thật instantiate được không lỗi đỏ.,"Camera prefab=Camera, active=True, Error/Exception=0.",Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Kiểm tra PlayMode runtime bằng prefab/script thật.,
CAM-003,Camera có component hợp lệ,Camera có Unity Camera hoặc CinemachineVirtualCamera.,"Unity Camera=2, CinemachineVirtualCamera=2.",Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Kiểm tra PlayMode runtime bằng prefab/script thật.,
CAM-004,MainCamera tag hợp lệ,Camera gameplay có tag MainCamera hoặc Camera.main truy cập được.,"Camera tag=MainCamera, Camera.main=True.",Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Kiểm tra PlayMode runtime bằng prefab/script thật.,
CAM-005,CameraManager tồn tại,Có class hoặc component CameraManager thật trong project.,"CameraManager class=True, prefab=Camera.",Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Kiểm tra PlayMode runtime bằng prefab/script thật.,
CAM-006,Script camera hỗ trợ tồn tại,Có MobileCamera/AvoidObstacleForCamera/CameraShake nếu hệ thống camera dùng.,"MobileCamera=True, AvoidObstacleForCamera=True, CameraShake=True.",Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Kiểm tra PlayMode runtime bằng prefab/script thật.,
CAM-007,Thông số Camera hợp lệ,FOV/clip plane của Camera thật hợp lệ.,"FOV=60.00, near=0.10, far=5000.00.",Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Kiểm tra PlayMode runtime bằng prefab/script thật.,
CAM-008,Gameplay scene có Camera,Load gameplay scene thật và tìm thấy Camera chính không lỗi đỏ.,"Scene đã load=Assets/Ben Ho/Scene UI/UI Menu.unity. Camera trong scene=1, Camera.main=True, Error/Exception=0.",Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Kiểm tra PlayMode runtime bằng prefab/script thật.,
CAM-009,Khoảng cách Camera-Player hợp lý,Camera không trùng Player hoặc quá xa Player.,Scene đã load=Assets/Ben Ho/Scene UI/UI Menu.unity. Fail - AssertionException: Expected: not null But was: null,Fail,Medium,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Kiểm tra PlayMode runtime bằng prefab/script thật.,
CAM-010,Camera không tự disable,Camera thật vẫn active sau vài frame.,"Camera root active=True, Camera enabled=True.",Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Kiểm tra PlayMode runtime bằng prefab/script thật.,
CAM-011,Camera chạy 60 frame không lỗi đỏ,Camera thật chạy 60 frame không lỗi đỏ.,"Camera=Camera_RuntimeTest, frame=60, Error/Exception=0.",Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Kiểm tra PlayMode runtime bằng prefab/script thật.,
